Emp_ID,Emp_Name,Department,Job_Role,City,State,Division,Country,Joining_Date,Exit_Date,Duration_Time,Experience,Attrition,Attrition_Count,Gender,Age,Age_Group,Last_Qualification,Attrition_Reason,Monthly_Salary,Salary_Group,Work_Life_Balance,Job_Satisfaction,City_Lat_Long.1,City_Lat_Long.2,State_Lat_Long.1,State_Lat_Long.2,Exp_at_Com,AgeGroupSort,SalaryGroupSort,Active_Emp_Count,Duration_by_Group
EMP0038,Arjun Joshi,Sales,Sales Executive,Bangalore,Karnataka,South,India,13 July 2017,,8,8+ Yrs,No,0,Female,56,56-65,Master,,141405,15-18 LPA,5,4,8.955316,94.943781,12.331256,95.863822,8,5,9,1,7-10 Yrs
EMP0088,Aarav Chopra,IT,Data Analyst,Bangalore,Karnataka,South,India,14 April 2017,,8,8+ Yrs,No,0,Male,23,18-25,Master,,58142,6-8 LPA,2,5,33.540015,88.655987,30.366395,76.603227,8,1,5,1,7-10 Yrs
EMP0104,Arjun Chopra,HR,Recruiter,Chennai,Tamil Nadu,South,India,28 May 2017,,8,8+ Yrs,No,0,Male,25,18-25,Bachelor,,22518,2-3 LPA,5,5,36.518988,92.659676,18.602487,91.093077,8,1,1,1,7-10 Yrs
EMP0119,Krishna Patel,Sales,Sales Manager,Chennai,Tamil Nadu,South,India,01 June 2017,,8,8+ Yrs,No,0,Male,58,56-65,High School,,55740,6-8 LPA,1,2,22.370287,93.977299,27.85375,93.365202,8,5,5,1,7-10 Yrs
EMP0135,Krishna Gupta,HR,HR Manager,Chennai,Tamil Nadu,South,India,01 May 2017,,8,8+ Yrs,No,0,Female,60,56-65,Master,,33548,4-5 LPA,1,4,11.090049,96.947834,10.432796,91.59879,8,5,3,1,7-10 Yrs
EMP0136,Arjun Mehta,Finance,Financial Analyst,Bangalore,Karnataka,South,India,16 July 2017,,8,8+ Yrs,No,0,Male,46,46-55,Bachelor,,75036,8-10 LPA,1,3,22.472737,83.475767,25.588285,85.846558,8,4,6,1,7-10 Yrs
EMP0195,Aditya Reddy,Marketing,Content Strategist,Bangalore,Karnataka,South,India,10 August 2017,,8,8+ Yrs,No,0,Female,31,26-35,High School,,76912,8-10 LPA,1,1,34.319011,76.390906,27.891544,94.340697,8,2,6,1,7-10 Yrs
EMP0205,Arjun Sharma,Sales,Sales Executive,Hyderabad,Telangana,South,India,20 July 2017,,8,8+ Yrs,No,0,Male,50,46-55,Bachelor,,149530,15-18 LPA,2,3,31.569001,74.172152,24.009344,76.096415,8,4,9,1,7-10 Yrs
EMP0210,Aarav Chopra,Operations,Operations Executive,Bangalore,Karnataka,South,India,11 March 2017,,8,8+ Yrs,No,0,Female,25,18-25,Bachelor,,42177,5-6 LPA,2,2,24.002452,76.671076,16.237477,85.674768,8,1,4,1,7-10 Yrs
EMP0419,Aditya Sharma,Sales,Sales Manager,Hyderabad,Telangana,South,India,19 May 2017,,8,8+ Yrs,No,0,Male,45,36-45,Bachelor,,33407,4-5 LPA,2,2,14.490575,84.665805,21.176083,72.726772,8,3,3,1,7-10 Yrs
EMP0468,Vivaan Verma,Sales,Sales Executive,Chennai,Tamil Nadu,South,India,13 July 2017,,8,8+ Yrs,No,0,Female,49,46-55,Bachelor,,108512,12-15 LPA,3,5,29.322612,78.663202,17.806169,92.021375,8,4,8,1,7-10 Yrs
EMP0473,Ananya Reddy,Sales,Sales Executive,Bangalore,Karnataka,South,India,17 February 2017,,8.5,8.5+ Yrs,No,0,Female,24,18-25,Master,,69851,8-10 LPA,5,1,14.052358,81.137253,21.153037,81.598723,8,1,6,1,7-10 Yrs
EMP0513,Vivaan Sharma,HR,HR Manager,Chennai,Tamil Nadu,South,India,06 June 2017,,8,8+ Yrs,No,0,Female,33,26-35,High School,,141995,15-18 LPA,3,1,27.442528,85.134911,24.051024,86.543746,8,2,9,1,7-10 Yrs
EMP0551,Vivaan Patel,IT,QA Analyst,Bangalore,Karnataka,South,India,30 March 2017,,8,8+ Yrs,No,0,Female,46,46-55,Master,,111458,12-15 LPA,1,4,21.13844,71.181723,28.895489,86.78238,8,4,8,1,7-10 Yrs
EMP0557,Arjun Mehta,Support,Support Executive,Hyderabad,Telangana,South,India,10 May 2017,,8,8+ Yrs,No,0,Female,29,26-35,PhD,,61401,6-8 LPA,4,1,35.41899,82.861654,15.415679,77.061324,8,2,5,1,7-10 Yrs
EMP0607,Ishaan Mehta,Marketing,Content Strategist,Bangalore,Karnataka,South,India,06 March 2017,,8,8+ Yrs,No,0,Female,44,36-45,Master,,20906,2-3 LPA,5,1,11.935299,90.91126,19.583848,77.557454,8,3,1,1,7-10 Yrs
EMP0660,Aditya Singh,Sales,Sales Manager,Bangalore,Karnataka,South,India,02 April 2017,,8,8+ Yrs,No,0,Female,23,18-25,PhD,,136158,15-18 LPA,1,1,16.421291,75.300624,21.866207,79.828334,8,1,9,1,7-10 Yrs
EMP0714,Sai Verma,Marketing,Content Strategist,Hyderabad,Telangana,South,India,07 May 2017,,8,8+ Yrs,No,0,Male,58,56-65,Bachelor,,46738,5-6 LPA,2,3,25.852071,77.955569,10.149166,84.964814,8,5,4,1,7-10 Yrs
EMP0738,Vivaan Sharma,Finance,Accountant,Hyderabad,Telangana,South,India,06 August 2017,,8,8+ Yrs,No,0,Female,53,46-55,PhD,,67861,8-10 LPA,3,4,27.464405,75.315166,30.867325,80.121531,8,4,6,1,7-10 Yrs
EMP0751,Ananya Patel,Finance,Accountant,Bangalore,Karnataka,South,India,30 April 2017,,8,8+ Yrs,No,0,Male,53,46-55,Master,,59932,6-8 LPA,5,1,35.856028,83.531691,24.348038,89.352897,8,4,5,1,7-10 Yrs
EMP0831,Arjun Reddy,Finance,Accountant,Bangalore,Karnataka,South,India,21 February 2017,,8.5,8.5+ Yrs,No,0,Female,53,46-55,Bachelor,,125770,15-18 LPA,2,3,25.84738,79.64724,23.901253,89.226411,8,4,9,1,7-10 Yrs
EMP0843,Ananya Verma,Finance,Financial Analyst,Hyderabad,Telangana,South,India,17 June 2017,,8,8+ Yrs,No,0,Male,29,26-35,Bachelor,,84419,10-12 LPA,3,5,10.77942,88.823477,17.671125,81.512192,8,2,7,1,7-10 Yrs
EMP0850,Ananya Reddy,Support,Support Manager,Bangalore,Karnataka,South,India,04 July 2017,,8,8+ Yrs,No,0,Female,51,46-55,Bachelor,,45286,5-6 LPA,3,2,11.957299,80.930646,19.88031,75.837707,8,4,4,1,7-10 Yrs
EMP0991,Sai Joshi,Sales,Sales Manager,Chennai,Tamil Nadu,South,India,29 July 2017,,8,8+ Yrs,No,0,Male,53,46-55,Bachelor,,87220,10-12 LPA,1,2,20.234164,95.737706,16.329723,87.939279,8,4,7,1,7-10 Yrs
EMP1006,Vivaan Patel,Finance,Accountant,Bangalore,Karnataka,South,India,09 April 2017,,8,8+ Yrs,No,0,Male,60,56-65,Master,,33218,3-4 LPA,4,2,29.679263,90.625924,30.276445,80.93921,8,5,2,1,7-10 Yrs
EMP1040,Aditya Sharma,Support,Support Executive,Bangalore,Karnataka,South,India,24 July 2017,,8,8+ Yrs,No,0,Male,56,56-65,High School,,46873,5-6 LPA,2,5,21.953789,85.875777,10.814654,71.468257,8,5,4,1,7-10 Yrs
EMP1064,Aditi Gupta,Sales,Sales Manager,Chennai,Tamil Nadu,South,India,30 April 2017,,8,8+ Yrs,No,0,Male,29,26-35,PhD,,122097,12-15 LPA,4,4,26.506664,90.652448,36.659269,84.588187,8,2,8,1,7-10 Yrs
EMP1067,Vivaan Reddy,IT,SysAdmin,Bangalore,Karnataka,South,India,22 May 2017,,8,8+ Yrs,No,0,Male,58,56-65,Bachelor,,47074,5-6 LPA,3,1,22.678167,93.828063,16.373136,86.202058,8,5,4,1,7-10 Yrs
EMP1074,Aarav Mehta,Marketing,Marketing Executive,Bangalore,Karnataka,South,India,10 May 2017,,8,8+ Yrs,No,0,Female,49,46-55,Bachelor,,118432,12-15 LPA,2,4,27.232178,89.848494,26.844024,94.69714,8,4,8,1,7-10 Yrs
EMP1123,Diya Sharma,Marketing,Marketing Executive,Chennai,Tamil Nadu,South,India,10 February 2017,,8.5,8.5+ Yrs,No,0,Male,35,26-35,Master,,48225,5-6 LPA,4,4,14.126312,86.53234,31.943366,81.871731,8,2,4,1,7-10 Yrs
EMP1149,Ananya Patel,HR,HR Manager,Hyderabad,Telangana,South,India,26 July 2017,,8,8+ Yrs,No,0,Female,53,46-55,PhD,,45458,5-6 LPA,3,5,36.776041,83.88854,35.843626,86.502378,8,4,4,1,7-10 Yrs
EMP1162,Aditi Reddy,Sales,Sales Executive,Hyderabad,Telangana,South,India,02 February 2017,,8.5,8.5+ Yrs,No,0,Male,58,56-65,Bachelor,,114293,12-15 LPA,5,2,9.982,92.1333,34.136297,81.878721,8,5,8,1,7-10 Yrs
EMP1231,Ishaan Gupta,Finance,Accountant,Bangalore,Karnataka,South,India,07 February 2017,,8.5,8.5+ Yrs,No,0,Female,45,36-45,High School,,140087,15-18 LPA,3,3,26.285552,76.458121,35.123157,78.267045,8,3,9,1,7-10 Yrs
EMP1250,Aarav Kumar,IT,SysAdmin,Hyderabad,Telangana,South,India,15 August 2017,,8,8+ Yrs,No,0,Female,55,46-55,PhD,,86376,10-12 LPA,2,2,25.764436,75.41727,33.012526,73.946493,8,4,7,1,7-10 Yrs
EMP1293,Ananya Reddy,Operations,Operations Manager,Chennai,Tamil Nadu,South,India,18 April 2017,,8,8+ Yrs,No,0,Female,56,56-65,Master,,142312,15-18 LPA,4,3,13.189993,90.254501,29.584026,72.757329,8,5,9,1,7-10 Yrs
EMP1343,Krishna Joshi,HR,Recruiter,Chennai,Tamil Nadu,South,India,04 June 2017,,8,8+ Yrs,No,0,Male,42,36-45,Master,,141414,15-18 LPA,5,5,30.759464,74.017226,13.024758,79.081683,8,3,9,1,7-10 Yrs
EMP1361,Vivaan Verma,Support,Support Manager,Hyderabad,Telangana,South,India,25 January 2017,,8.5,8.5+ Yrs,No,0,Male,38,36-45,Bachelor,,142249,15-18 LPA,1,4,27.72512,72.352292,8.568656,86.824275,8,3,9,1,7-10 Yrs
EMP1497,Vivaan Kumar,Marketing,Content Strategist,Bangalore,Karnataka,South,India,05 March 2017,,8,8+ Yrs,No,0,Male,27,26-35,High School,,143992,15-18 LPA,3,5,19.540754,76.774067,33.736877,96.310415,8,2,9,1,7-10 Yrs
EMP1522,Aarav Sharma,Support,Support Manager,Bangalore,Karnataka,South,India,16 July 2017,,8,8+ Yrs,No,0,Female,33,26-35,Bachelor,,49828,5-6 LPA,4,4,25.034032,72.174383,12.601894,73.349078,8,2,4,1,7-10 Yrs
EMP1559,Arjun Sharma,Finance,Accountant,Chennai,Tamil Nadu,South,India,31 January 2017,,8.5,8.5+ Yrs,No,0,Female,46,46-55,Master,,97657,10-12 LPA,2,1,31.740729,81.634349,36.680871,87.430074,8,4,7,1,7-10 Yrs
EMP1604,Arjun Reddy,Marketing,Marketing Executive,Hyderabad,Telangana,South,India,05 April 2017,,8,8+ Yrs,No,0,Female,43,36-45,Bachelor,,125436,15-18 LPA,3,4,16.769536,91.926768,20.783323,92.18622,8,3,9,1,7-10 Yrs
EMP1606,Sai Reddy,Operations,Operations Manager,Hyderabad,Telangana,South,India,17 June 2017,,8,8+ Yrs,No,0,Male,37,36-45,Bachelor,,133909,15-18 LPA,3,3,35.967073,93.121049,20.939037,75.466489,8,3,9,1,7-10 Yrs
EMP1619,Arjun Chopra,IT,QA Analyst,Hyderabad,Telangana,South,India,11 February 2017,,8.5,8.5+ Yrs,No,0,Female,59,56-65,Bachelor,,32353,3-4 LPA,1,3,23.372699,87.789307,20.060897,82.521355,8,5,2,1,7-10 Yrs
EMP1622,Ananya Patel,Operations,Operations Manager,Chennai,Tamil Nadu,South,India,27 May 2017,,8,8+ Yrs,No,0,Male,34,26-35,Bachelor,,50039,6-8 LPA,3,3,36.305348,83.455914,26.200838,80.215142,8,2,5,1,7-10 Yrs
EMP1653,Aditi Kumar,Operations,Operations Executive,Bangalore,Karnataka,South,India,19 August 2017,,8,8+ Yrs,No,0,Female,25,18-25,PhD,,106899,12-15 LPA,5,3,24.74435,81.802412,9.205386,93.711247,8,1,8,1,7-10 Yrs
EMP1666,Arjun Joshi,Support,Support Manager,Hyderabad,Telangana,South,India,04 April 2017,,8,8+ Yrs,No,0,Male,52,46-55,High School,,110330,12-15 LPA,2,4,8.219418,90.105,24.462702,94.751413,8,4,8,1,7-10 Yrs
EMP1683,Arjun Joshi,Marketing,Content Strategist,Hyderabad,Telangana,South,India,27 July 2017,,8,8+ Yrs,No,0,Female,37,36-45,High School,,120511,12-15 LPA,5,2,9.577468,80.911356,17.015636,82.410028,8,3,8,1,7-10 Yrs
EMP1687,Sai Sharma,IT,Data Analyst,Hyderabad,Telangana,South,India,26 January 2017,,8.5,8.5+ Yrs,No,0,Female,58,56-65,Bachelor,,133818,15-18 LPA,1,3,20.220298,95.71458,13.292415,73.020872,8,5,9,1,7-10 Yrs
EMP1688,Ishaan Sharma,Operations,Operations Executive,Hyderabad,Telangana,South,India,21 March 2017,,8,8+ Yrs,No,0,Female,22,18-25,PhD,,35159,4-5 LPA,1,1,17.562575,93.121764,8.827629,82.703072,8,1,3,1,7-10 Yrs
